ec0a-ecbf-8142-bbe8||
b94c-5bde-8d46-29de||impacts	impact	subj-factor	subjl-factor	obj-something	objl-something	rel-impacts	rel-impact	[factor,impacts,something]	[factor,impact,something]
4dc0-19c7-104a-0ddf||means	mean	subj-both	subjl-both	obj-two	objl-two	rel-means	rel-mean	[both,means,two]	[both,mean,two]
1946-b43f-82d5-547d||
dda0-d5ba-63eb-7efa||is small in	be small in	subj-bacteria	subjl-bacterium	obj-size	objl-size	rel-is small in	rel-be small in	[bacteria,is small in,size]	[bacterium,be small in,size]	is	be	subj-bacteria	subjl-bacterium	obj-small	objl-small	rel-is	rel-be	[bacteria,is,small]	[bacterium,be,small]
3b5e-b61a-38ed-faa2||are made from	be make from	subj-things	subjl-thing	obj-same objects	objl-same object	rel-are made from	rel-be make from	[things,are made from,same objects]	[thing,be make from,same object]	are	be	subj-two things	subjl-two thing	obj-similar	objl-similar	rel-are	rel-be	[two things,are,similar]	[two thing,be,similar]	are	be	subj-two things	subjl-two thing	obj-made	objl-make	rel-are	rel-be	[two things,are,made]	[two thing,be,make]	are made from	be make from	subj-two things	subjl-two thing	obj-objects	objl-object	rel-are made from	rel-be make from	[two things,are made from,objects]	[two thing,be make from,object]	are	be	subj-two things	subjl-two thing	obj-then similar	objl-then similar	rel-are	rel-be	[two things,are,then similar]	[two thing,be,then similar]	are	be	subj-things	subjl-thing	obj-similar	objl-similar	rel-are	rel-be	[things,are,similar]	[thing,be,similar]	are	be	subj-things	subjl-thing	obj-made	objl-make	rel-are	rel-be	[things,are,made]	[thing,be,make]	are made from	be make from	subj-two things	subjl-two thing	obj-same objects	objl-same object	rel-are made from	rel-be make from	[two things,are made from,same objects]	[two thing,be make from,same object]	are made from	be make from	subj-things	subjl-thing	obj-objects	objl-object	rel-are made from	rel-be make from	[things,are made from,objects]	[thing,be make from,object]	are	be	subj-things	subjl-thing	obj-then similar	objl-then similar	rel-are	rel-be	[things,are,then similar]	[thing,be,then similar]
372c-33f0-9c33-ca83||is	be	subj-gas	subjl-gas	obj-heated then	objl-heated then	rel-is	rel-be	[gas,is,heated then]	[gas,be,heated then]	is	be	subj-gas	subjl-gas	obj-heated	objl-heated	rel-is	rel-be	[gas,is,heated]	[gas,be,heated]
c41d-ddb3-ef96-b433||
769f-6117-1272-9b62||
1ed3-919d-4a4c-1be7||is source of	be source of	subj-sun	subjl-sun	obj-solar energy	objl-solar energy	rel-is source of	rel-be source of	[sun,is source of,solar energy]	[sun,be source of,solar energy]	is	be	subj-sun	subjl-sun	obj-source	objl-source	rel-is	rel-be	[sun,is,source]	[sun,be,source]	is source of	be source of	subj-sun	subjl-sun	obj-energy	objl-energy	rel-is source of	rel-be source of	[sun,is source of,energy]	[sun,be source of,energy]	is source of	be source of	subj-sun	subjl-sun	obj-solar energy called	objl-solar energy call	rel-is source of	rel-be source of	[sun,is source of,solar energy called]	[sun,be source of,solar energy call]	is source of	be source of	subj-sun	subjl-sun	obj-energy called	objl-energy call	rel-is source of	rel-be source of	[sun,is source of,energy called]	[sun,be source of,energy call]
1456-98fe-3171-af46||occurs over	occur over	subj-nonrenewable resources	subjl-nonrenewable resource	obj-period	objl-period	rel-occurs over	rel-occur over	[nonrenewable resources,occurs over,period]	[nonrenewable resource,occur over,period]	occurs over	occur over	subj-nonrenewable resources	subjl-nonrenewable resource	obj-period of 300000000 years	objl-period of 300000000 year	rel-occurs over	rel-occur over	[nonrenewable resources,occurs over,period of 300000000 years]	[nonrenewable resource,occur over,period of 300000000 year]	occurs over	occur over	subj-resources	subjl-resource	obj-period of 300000000 years	objl-period of 300000000 year	rel-occurs over	rel-occur over	[resources,occurs over,period of 300000000 years]	[resource,occur over,period of 300000000 year]	occurs over	occur over	subj-resources	subjl-resource	obj-period	objl-period	rel-occurs over	rel-occur over	[resources,occurs over,period]	[resource,occur over,period]
