Mercury_SC_415013	Which/which/WDT/O/NA rapid/rapid/JJ/O/Focus changes/change/NNS/O/NA are/be/VBP/O/Abstract caused/cause/VBN/O/NA by/by/IN/O/NA heat/heat/NN/O/Focus from/from/IN/O/NA inside/inside/IN/O/NA Earth/Earth/NNP/LOCATION/Concrete ?/?/./O/NA	B	landslides/landslide/NNS/O/NA	volcanoes/volcano/NNS/O/NA	avalanches/avalanche/NNS/O/NA	floods/flood/NNS/CAUSE_OF_DEATH/NA
Mercury_SC_405298	Which/which/WDT/O/NA invention/invention/NN/O/Focus will/will/MD/O/NA best/best/RB/O/Abstract help/help/VB/O/Abstract people/people/NNS/O/Concrete travel/travel/VB/O/Focus quickly/quickly/RB/O/Abstract to/to/TO/O/NA far/far/RB/O/Abstract away/away/RB/O/Abstract places/place/NNS/O/NA ?/?/./O/NA	C	car/car/NN/O/Concrete	boat/boat/NN/O/Concrete	airplane/airplane/NN/O/Concrete	skateboard/skateboard/NN/O/Concrete
VASoL_2007_3_6	A/a/DT/O/NA wetland/wetland/NN/O/Concrete habitat/habitat/NN/O/Focus can/can/MD/O/NA continue/continue/VB/O/Abstract to/to/TO/O/NA support/support/VB/O/Abstract the/the/DT/O/NA birds/bird/NNS/O/NA and/and/CC/O/NA fish/fish/NN/O/Concrete that/that/WDT/O/NA live/live/VBP/O/Focus there/there/EX/O/NA if/if/IN/O/NA people/people/NNS/O/Concrete ___/___/VBP/O/NA ./././O/NA	C	drain/drain/VB/O/Concrete the/the/DT/O/NA water/water/NN/O/Concrete away/away/RB/O/Abstract	flood/flood/NN/CAUSE_OF_DEATH/Concrete the/the/DT/O/NA highest/highest/JJS/O/Abstract parts/part/NNS/O/NA of/of/IN/O/NA the/the/DT/O/NA land/land/NN/O/Concrete	leave/leave/VB/O/Abstract the/the/DT/O/NA land/land/NN/O/Concrete alone/alone/RB/O/Abstract	use/use/VB/O/Abstract the/the/DT/O/NA land/land/NN/O/Concrete for/for/IN/O/NA planting/plant/VBG/O/Focus crops/crop/NNS/O/NA
Mercury_SC_416525	Randall/Randall/NNP/O/NA is/be/VBZ/O/Abstract picking/pick/VBG/O/NA lettuce/lettuce/NN/O/Concrete from/from/IN/O/NA his/he/PRP$/O/NA garden/garden/NN/O/Concrete for/for/IN/O/NA dinner/dinner/NN/O/Concrete ./././O/NA His/he/PRP$/O/NA mother/mother/NN/O/Concrete told/tell/VBD/O/Abstract him/he/PRP/O/NA to/to/TO/O/NA leave/leave/VB/O/Abstract some/some/DT/O/NA leaves/leaf/NNS/O/Concrete on/on/IN/O/NA each/each/DT/O/NA plant/plant/NN/O/Concrete ./././O/NA Why/why/WRB/O/Abstract is/be/VBZ/O/Abstract it/it/PRP/O/NA important/important/JJ/O/Abstract to/to/TO/O/NA leave/leave/VB/O/Abstract some/some/DT/O/NA leaves/leaf/NNS/O/Concrete on/on/IN/O/NA the/the/DT/O/NA plant/plant/NN/O/Concrete ?/?/./O/NA	A	Leaves/leave/VBZ/O/Concrete help/help/VB/O/Abstract the/the/DT/O/NA plant/plant/NN/O/Concrete make/make/VB/O/Abstract food/food/NN/O/Concrete ./././O/NA	Leaves/leave/VBZ/O/Concrete help/help/VB/O/Abstract the/the/DT/O/NA plant/plant/NN/O/Concrete absorb/absorb/VB/O/Focus water/water/NN/O/Concrete ./././O/NA	Leaves/leave/VBZ/O/Concrete help/help/VB/O/Abstract the/the/DT/O/NA plant/plant/NN/O/Concrete stand/stand/VB/O/Focus upright/upright/NN/O/Focus ./././O/NA	Leaves/leave/VBZ/O/Concrete help/help/VB/O/Abstract the/the/DT/O/NA plant/plant/NN/O/Concrete make/make/VB/O/Abstract seeds/seed/NNS/O/NA ./././O/NA
VASoL_2010_3_38	A/a/DT/O/NA company/company/NN/O/Focus plants/plant/NNS/O/NA trees/tree/NNS/O/NA on/on/IN/O/NA a/a/DT/O/NA bare/bare/JJ/O/Focus hillside/hillside/NN/O/Concrete ./././O/NA Which/which/WDT/O/NA of/of/IN/O/NA these/these/DT/O/NA is/be/VBZ/O/Abstract the/the/DT/O/NA BEST/BEST/NNP/O/Abstract reason/reason/NN/O/Abstract for/for/IN/O/NA planting/plant/VBG/O/Focus the/the/DT/O/NA trees/tree/NNS/O/NA ?/?/./O/NA	B	The/the/DT/O/NA trees/tree/NNS/O/NA provide/provide/VBP/O/Abstract oxygen/oxygen/NN/O/Focus for/for/IN/O/NA the/the/DT/O/NA soil/soil/NN/O/Concrete ./././O/NA	The/the/DT/O/NA trees/tree/NNS/O/NA prevent/prevent/VBP/O/Abstract soil/soil/NN/O/Concrete from/from/IN/O/NA washing/wash/VBG/O/Concrete away/away/RB/O/Abstract ./././O/NA	The/the/DT/O/NA trees/tree/NNS/O/NA make/make/VBP/O/Abstract shade/shade/NN/O/Focus for/for/IN/O/NA animals/animal/NNS/O/NA living/live/VBG/O/Focus there/there/RB/O/Abstract ./././O/NA	The/the/DT/O/NA trees/tree/NNS/O/NA cause/cause/VBP/O/Abstract animals/animal/NNS/O/NA to/to/TO/O/NA move/move/VB/O/Focus to/to/TO/O/NA other/other/JJ/O/Abstract places/place/NNS/O/NA ./././O/NA
Mercury_SC_405207	Which/which/WDT/O/NA activity/activity/NN/O/Abstract has/have/VBZ/O/NA the/the/DT/O/NA invention/invention/NN/O/Focus of/of/IN/O/NA the/the/DT/O/NA light/light/JJ/O/Concrete bulb/bulb/NN/O/Concrete helped/help/VBD/O/NA the/the/DT/O/NA most/most/RBS/O/Abstract ?/?/./O/NA	C	swimming/swim/VBG/O/Concrete	walking/walk/VBG/O/Concrete	reading/reading/NN/O/Focus	talking/talk/VBG/O/Focus
Mercury_SC_415703	One/one/CD/NUMBER/NA cause/cause/NN/O/Abstract of/of/IN/O/NA heat/heat/NN/O/Focus in/in/IN/O/NA a/a/DT/O/NA car/car/NN/O/Concrete engine/engine/NN/O/Concrete is/be/VBZ/O/Abstract caused/cause/VBN/O/NA by/by/IN/O/NA friction/friction/NN/O/Focus between/between/IN/O/NA parts/part/NNS/O/NA ./././O/NA Which/which/WDT/O/NA of/of/IN/O/NA these/these/DT/O/NA reduces/reduce/VBZ/O/NA the/the/DT/O/NA amount/amount/NN/O/Abstract of/of/IN/O/NA heat/heat/NN/O/Focus produced/produce/VBN/O/Abstract by/by/IN/O/NA friction/friction/NN/O/Focus ?/?/./O/NA	B	fan/fan/NN/O/Concrete	oil/oil/NN/O/Concrete	gasoline/gasoline/NN/O/Concrete	battery/battery/NN/CRIMINAL_CHARGE/Concrete
VASoL_2008_3_22	A/a/DT/O/NA sign/sign/NN/O/Concrete that/that/IN/O/NA an/a/DT/O/NA apple/apple/NN/O/Concrete tree/tree/NN/O/Concrete is/be/VBZ/O/Abstract going/go/VBG/O/Abstract to/to/TO/O/NA start/start/VB/O/Abstract growing/grow/VBG/O/Abstract apples/apple/NNS/O/NA is/be/VBZ/O/Abstract when/when/WRB/O/Abstract the/the/DT/O/NA tree/tree/NN/O/Concrete has/have/VBZ/O/NA ___/___/CD/NUMBER/NA ./././O/NA	D	roots/root/NNS/O/NA	seeds/seed/NNS/O/NA	leaves/leaf/NNS/O/Concrete	flowers/flower/NNS/O/NA
VASoL_2009_3_3	Which/which/WDT/O/NA of/of/IN/O/NA these/these/DT/O/NA lists/list/NNS/O/NA has/have/VBZ/O/NA only/only/RB/O/Abstract products/product/NNS/O/NA that/that/WDT/O/NA come/come/VBP/O/Abstract from/from/IN/O/NA plants/plant/NNS/O/NA ?/?/./O/NA	A	Paper/Paper/NNP/O/Concrete ,/,/,/O/NA spices/spice/NNS/O/Concrete ,/,/,/O/NA and/and/CC/O/NA fibers/fiber/NNS/O/NA	Wool/wool/NN/O/Concrete ,/,/,/O/NA lumber/lumber/NN/O/Concrete ,/,/,/O/NA and/and/CC/O/NA butter/butter/NN/O/Concrete	Medicines/Medicines/NNP/O/NA ,/,/,/O/NA leather/leather/NN/O/Concrete ,/,/,/O/NA and/and/CC/O/NA milk/milk/NN/O/Concrete	Cotton/cotton/NN/O/Concrete ,/,/,/O/NA rubber/rubber/NN/TITLE/Concrete ,/,/,/O/NA and/and/CC/O/NA eggs/egg/NNS/O/NA
VASoL_2009_3_13	Which/which/WDT/O/NA of/of/IN/O/NA these/these/DT/O/NA is/be/VBZ/O/Abstract a/a/DT/O/NA nonliving/nonliving/JJ/O/Abstract part/part/NN/O/Focus of/of/IN/O/NA a/a/DT/O/NA forest/forest/NN/O/Concrete ?/?/./O/NA	B	Tree/tree/NN/O/Concrete	Soil/soil/NN/O/Concrete	Worm/worm/NN/O/Concrete	Mushroom/mushroom/NN/O/Concrete
